MODEL_ID,MODEL_NAME,MODEL_TYPE,MODEL_CLASS,COMPONENT_ID,WEIGHTED
1,PI009 (1st Stage Discharge Press),CONDITION,MACHINE_LEARNING,2,10
2,PI010 (2nd Stage Suction Press),CONDITION,MACHINE_LEARNING,2,10
3,TI010 (1st Stage Discharge Temp),CONDITION,MACHINE_LEARNING,2,10
4,PIA012 (GG IP Compr  Discharge),CONDITION,MACHINE_LEARNING,4,10
5,PIA013 (GG HP Comp. Discharge),CONDITION,MACHINE_LEARNING,4,10
6,TI017A1 (GG Exhaust Temp1A(ECS)),CONDITION,MACHINE_LEARNING,4,10
7,TI017A11 (GG Exhaust Temp11A(ECS)),CONDITION,MACHINE_LEARNING,4,10
8,TI017A12 (GG Exhaust Temp12A(ECS)),CONDITION,MACHINE_LEARNING,4,10
9,TI017A13 (GG Exhaust Temp13A(ECS)),CONDITION,MACHINE_LEARNING,4,10
10,TI017A14 (GG Exhaust Temp14A(ECS)),CONDITION,MACHINE_LEARNING,4,10
11,TI017A15 (GG Exhaust Temp15A(ECS)),CONDITION,MACHINE_LEARNING,4,10
12,TI017A16 (GG Exhaust Temp16A(ECS)),CONDITION,MACHINE_LEARNING,4,10
13,TI017A17 (GG Exhaust Temp17A(ECS)),CONDITION,MACHINE_LEARNING,4,10
14,TI017A2 (GG Exhaust Temp2A(ECS)),CONDITION,MACHINE_LEARNING,4,10
15,TI017A3 (GG Exhaust Temp3A(ECS)),CONDITION,MACHINE_LEARNING,4,10
16,TI017A4 (GG Exhaust Temp4A(ECS)),CONDITION,MACHINE_LEARNING,4,10
17,TI017A5 (GG Exhaust Temp5A(ECS)),CONDITION,MACHINE_LEARNING,4,10
18,TI017A6 (GG Exhaust Temp6A(ECS)),CONDITION,MACHINE_LEARNING,4,10
19,TI017A7 (GG Exhaust Temp7A(ECS)),CONDITION,MACHINE_LEARNING,4,10
20,TI017A8 (GG Exhaust Temp8A(ECS)),CONDITION,MACHINE_LEARNING,4,10
21,TI017A9 (GG Exhaust Temp9A(ECS)),CONDITION,MACHINE_LEARNING,4,10
22,TI017B1 (GG Exhaust Temp1B(ECS)),CONDITION,MACHINE_LEARNING,4,10
23,TI017B10 (GG Exhaust Temp10B(ECS)),CONDITION,MACHINE_LEARNING,4,10
24,TI017B11 (GG Exhaust Temp11B(ECS)),CONDITION,MACHINE_LEARNING,4,10
25,TI017B12 (GG Exhaust Temp12B(ECS)),CONDITION,MACHINE_LEARNING,4,10
26,TI017B13 (GG Exhaust Temp13B(ECS)),CONDITION,MACHINE_LEARNING,4,10
27,TI017B14 (GG Exhaust Temp14B(ECS)),CONDITION,MACHINE_LEARNING,4,10
28,TI017B15 (GG Exhaust Temp15B(ECS)),CONDITION,MACHINE_LEARNING,4,10
29,TI017B16 (GG Exhaust Temp16B(ECS)),CONDITION,MACHINE_LEARNING,4,10
30,TI017B17 (GG Exhaust Temp17B(ECS)),CONDITION,MACHINE_LEARNING,4,10
31,TI017B2 (GG Exhaust Temp17B(ECS)),CONDITION,MACHINE_LEARNING,4,10
32,TI017B3 (GG Exhaust Temp3B(ECS)),CONDITION,MACHINE_LEARNING,4,10
33,TI017B5 (GG Exhaust Temp5B(ECS)),CONDITION,MACHINE_LEARNING,4,10
34,TI017B6 (GG Exhaust Temp6B(ECS)),CONDITION,MACHINE_LEARNING,4,10
35,TI017B7 (GG Exhaust Temp7B(ECS)),CONDITION,MACHINE_LEARNING,4,10
36,TI017B8 (GG Exhaust Temp8B(ECS)),CONDITION,MACHINE_LEARNING,4,10
37,TI017B9 (GG Exhaust Temp9B(ECS)),CONDITION,MACHINE_LEARNING,4,10
38,TIA017C (GG Exhaust Average TempC),CONDITION,MACHINE_LEARNING,4,10
39,PDV542 (Primary Supply Valve),CONDITION,MACHINE_LEARNING,8,10
40,TI011A (GG Comb.Inlet Temp1(ECS)),PERFORMANCE,MACHINE_LEARNING,4,10
41,TI012A (GG Comb.Inlet Temp4(ECS)),PERFORMANCE,MACHINE_LEARNING,4,10
42,TI013A (GG Comb.Inlet Temp7(ECS)),PERFORMANCE,MACHINE_LEARNING,4,10
43,TIA016A (GG 05 Module Temp A),PERFORMANCE,MACHINE_LEARNING,4,10
44,TIA016B (GG 05 Module Temp B),PERFORMANCE,MACHINE_LEARNING,4,10
45,TIA016C (GG 05 Module Temp C),PERFORMANCE,MACHINE_LEARNING,4,10
46,XIXA002 (PT DE X Vibration),CONDITION,MACHINE_LEARNING,7,10
47,XIYA001 (PT NDE Y Vibration),CONDITION,MACHINE_LEARNING,7,10
48,PIA017 (Aux.Air Supply Press) ,CONDITION,INDIVIDUAL,1,10
49,PIA025 (F.G.Primary Supply Press),CONDITION,INDIVIDUAL,3,10
50,PIA027 (F.G.Secondary Supply),CONDITION,INDIVIDUAL,3,10
51,TI026A (Fuel Gas Reg.TempA (ECS)) ,CONDITION,INDIVIDUAL,3,10
52,TI026B (Fuel Gas Reg.TempB (ECS)),CONDITION,INDIVIDUAL,3,10
53,PDI011 (GT Inlet Cooling Air dP),CONDITION,INDIVIDUAL,1,10
54,PDIA003 (1st Suction Filter dP),CONDITION,INDIVIDUAL,2,10
55,PDIA004 (2nd Suction Filter dP),CONDITION,INDIVIDUAL,2,10
56,PI011 (2nd Stage Discharge Press),CONDITION,INDIVIDUAL,2,10
57,TI012 (2nd Stage Suction Temp),CONDITION,INDIVIDUAL,4,10
58,TI014 (2nd Stage Discharge Temp),CONDITION,INDIVIDUAL,4,10
59,TIA013A (Compr Discharge TempA),CONDITION,INDIVIDUAL,2,10
60,TIA013B (Compr Discharge TempB),CONDITION,INDIVIDUAL,2,10
61,TIA013C (Compr Discharge TempC),CONDITION,INDIVIDUAL,2,10
62,TIA501 (Comp. Outboard Bear. Temp1),CONDITION,INDIVIDUAL,2,10
63,TIA502 (Comp. Outboard Bear. Temp2),CONDITION,INDIVIDUAL,2,10
64,TIA503 (Comp. Outboard Bear. Temp3),CONDITION,INDIVIDUAL,2,10
65,TIA504 (Compr Inboard Bear. Temp1),CONDITION,INDIVIDUAL,2,10
66,TIA505 (Compr Inboard Bear. Temp2),CONDITION,INDIVIDUAL,2,10
67,TIA506 (Compr Inboard Bear. Temp3),CONDITION,INDIVIDUAL,2,10
68,TIA507 (Compr NDE Bearing Temp1),CONDITION,INDIVIDUAL,2,10
69,TIA508 (Compr NDE Bearing Temp2),CONDITION,INDIVIDUAL,2,10
70,TIA509 (Compr DE Bearing Temp1),CONDITION,INDIVIDUAL,2,10
71,TIA510 (Compr DE Bearing Temp2),CONDITION,INDIVIDUAL,2,10
72,XIXA501 (Compr NDE X Vibration),CONDITION,INDIVIDUAL,2,10
73,XIXA502 (Compr DE X Vibration),CONDITION,INDIVIDUAL,2,10
74,XIYA502 (Compr DE Y Vibration),CONDITION,INDIVIDUAL,2,10
75,XIZA501 (Compr Axial Displace.A),CONDITION,INDIVIDUAL,2,10
76,XIZA502 (Compr Axial Displace.B),CONDITION,INDIVIDUAL,2,10
77,PDI012 (GT Inlet Comb .Air dP1),CONDITION,INDIVIDUAL,4,10
78,PDI013 (GT Inlet Comb. Air dP2),CONDITION,INDIVIDUAL,4,10
79,PDI014 (GT Inlet Comb .Air dP3),CONDITION,INDIVIDUAL,4,10
80,PDI015 (GT Inlet Comb. Air dP4),CONDITION,INDIVIDUAL,4,10
81,TIA560A (Main L.O. TempA),CONDITION,INDIVIDUAL,6,10
82,TIA560B (Main L.O. TempB),CONDITION,INDIVIDUAL,6,10
83,TIA560C (Main L.O. TempC),CONDITION,INDIVIDUAL,6,10
84,PT506A (PT Exhaust Pressure1),CONDITION,INDIVIDUAL,7,10
85,PT506B (PT Exhaust Pressure2),CONDITION,INDIVIDUAL,7,10
86,PT506C (PT Exhaust Pressure3),CONDITION,INDIVIDUAL,7,10
87,TIA005 (PT NDE Bearing Temp1),CONDITION,INDIVIDUAL,7,10
88,TIA006 (PT NDE Bearing Temp2),CONDITION,INDIVIDUAL,7,10
89,TIA007 (PT Thrust Bearing Temp1),CONDITION,INDIVIDUAL,7,10
90,TIA008 (PT Thrust Bearing Temp2),CONDITION,INDIVIDUAL,7,10
91,TIA009 (PT DE Bearing Temp1),CONDITION,INDIVIDUAL,7,10
92,TIA010 (PT DE Bearing Temp2),CONDITION,INDIVIDUAL,7,10
93,TIA011 (PT Counter Bear. Temp1),CONDITION,INDIVIDUAL,7,10
94,FI543 (Primary Buffer DE Flow),CONDITION,INDIVIDUAL,8,10
95,PDIA008A (GT Enclosure dP 1),CONDITION,INDIVIDUAL,4,10
96,PDIA008B (GT Enclosure dP 2),CONDITION,INDIVIDUAL,4,10
97,PDIA008C (GT Enclosure dP 3),CONDITION,INDIVIDUAL,4,10
98,TIA020A (GT Enclosure Temp A),CONDITION,INDIVIDUAL,4,10
99,TIA020B (GT Enclosure Temp B),CONDITION,INDIVIDUAL,4,10
100,TIA020C (GT Enclosure Temp C),CONDITION,INDIVIDUAL,4,10
101,XIYA501 (Compr NDE Y Vibration),CONDITION,INDIVIDUAL,2,10
102,TIA018A (GG L.O. Tank Temp A),CONDITION,INDIVIDUAL,5,10
103,TIA018B (GG L.O. Tank Temp B),CONDITION,INDIVIDUAL,5,10
104,TIA019A (GG L.O.Supply Temp.A ECS),CONDITION,INDIVIDUAL,5,10
105,TIA019B (GG L.O.Supply Temp.B ECS),CONDITION,INDIVIDUAL,5,10
106,XIA001 (GG Inlet Vibration),CONDITION,INDIVIDUAL,4,10
107,XIA002 (GG Center Vibration),CONDITION,INDIVIDUAL,4,10
108,XIA003 (GG Turbine Vibration),CONDITION,INDIVIDUAL,4,10
109,LIA001 (GG LO Tank Level (ECS)),CONDITION,INDIVIDUAL,5,10
110,PDI003 (GG Hydraulic Filter dP),CONDITION,INDIVIDUAL,5,10
111,PDI004 (GG L.O. Filter dP),CONDITION,INDIVIDUAL,5,10
112,PIA001 (GG L.O. Hydraulic Press),CONDITION,INDIVIDUAL,5,10
113,PIA006 (GG Hydraulic Pump Press),CONDITION,INDIVIDUAL,5,10
114,PIA007 (GG LO Center Scavenge),CONDITION,INDIVIDUAL,5,10
115,LIA501 (Main L.O.Rundown Level),CONDITION,INDIVIDUAL,6,10
116,LIA560 (Main L.O.Reservoir Level),CONDITION,INDIVIDUAL,6,10
117,PDIA560 (Main L.O. Filter dP),CONDITION,INDIVIDUAL,6,10
118,PIA501A (Main L.O.Press A (Compr)),CONDITION,INDIVIDUAL,6,10
119,PIA501B (Main L.O.Press B (Compr)),CONDITION,INDIVIDUAL,6,10
120,PIA501C (Main L.O.Press C (Compr)),CONDITION,INDIVIDUAL,6,10
121,PIA502 (Main L.O.  Press),CONDITION,INDIVIDUAL,6,10
122,PIA560 (Main L.O. Pump 2 Press),CONDITION,INDIVIDUAL,6,10
123,PIA561 (Main L.O. Pump 1 Press),CONDITION,INDIVIDUAL,6,10
124,PIA562 (Main L.O. Supply Press),CONDITION,INDIVIDUAL,6,10
125,PIA563A (Main L.O.  Press A),CONDITION,INDIVIDUAL,6,10
126,PIA563B (Main L.O.  Press B),CONDITION,INDIVIDUAL,6,10
127,PIA563C (Main L.O.  Press C),CONDITION,INDIVIDUAL,6,10
128,TIA561 (Main L.O. Temp),CONDITION,INDIVIDUAL,6,10
129,PDT039 (PT SEAL AIR ATMOSP. dP1),CONDITION,INDIVIDUAL,4,10
130,TIA001 (PT Stage1 Rim Cool Temp),CONDITION,INDIVIDUAL,7,10
131,TIA003 (PT Stage2 Rim CoolTemp),CONDITION,INDIVIDUAL,7,10
132,TIA012 (PT Counter Bear. Temp2),CONDITION,INDIVIDUAL,7,10
133,XIXA001 (PT NDE X Vibration),CONDITION,INDIVIDUAL,7,10
134,XIYA002 (PT DE Y Vibration),CONDITION,INDIVIDUAL,7,10
135,XIZA001A (PT Axial Displacement 1),CONDITION,INDIVIDUAL,7,10
136,XIZA001B (PT Axial Displacement 2),CONDITION,INDIVIDUAL,7,10
137,FI540 (Sep.GAS Supply DE Flow),CONDITION,INDIVIDUAL,8,10
138,FI542 (Primary Buffer NDE Flow),CONDITION,INDIVIDUAL,8,10
139,FIA544A (PrimaryNDE Vent Press A),CONDITION,INDIVIDUAL,8,10
140,FIA544B (PrimaryNDE Vent Press B),CONDITION,INDIVIDUAL,8,10
141,FIA544C (PrimaryNDE Vent Press B),CONDITION,INDIVIDUAL,8,10
142,FIA545 (Primary DE Vent Press),CONDITION,INDIVIDUAL,8,10
143,FIA546A (Primary DE Vent Press A),CONDITION,INDIVIDUAL,8,10
144,FIA546B (Primary DE Vent Press B),CONDITION,INDIVIDUAL,8,10
145,FIA546C (Primary DE Vent Press C),CONDITION,INDIVIDUAL,8,10
146,FIA547 (PrimaryNDE Vent Press),CONDITION,INDIVIDUAL,8,10
147,PDIA540 (Sep.Gas Nitrogen dP),CONDITION,INDIVIDUAL,8,10
148,PDIA541 (PrimarySupply Filter dP),CONDITION,INDIVIDUAL,8,10
149,PDICA542 (PrimarySupply dP),CONDITION,INDIVIDUAL,8,10
150,PDV542 (PrimarySupply Valve),CONDITION,INDIVIDUAL,8,10
151,PIA540 (Sep.Gas Nitrogen Press),CONDITION,INDIVIDUAL,8,10
152,PI024 (Fuel Gas Manifold Press),CONDITION,INDIVIDUAL,3,10
153,PIA021 (Fuel Gas Supply Press),CONDITION,INDIVIDUAL,3,10
154,PIA023 (Fuel Gas Supply Press),CONDITION,INDIVIDUAL,3,10
155,TIA022 (Inlet Ambient Temp. 1A),CONDITION,INDIVIDUAL,1,10
156,TIA024 (Inlet Ambient Temp. 2A),CONDITION,INDIVIDUAL,1,10
157,TI011 (Compr Discharge Temp),CONDITION,INDIVIDUAL,2,10
158,PIA014 (GG Diffuser Exit Press 2),CONDITION,INDIVIDUAL,4,10
159,PIA015 (GG Exhaust Press (ECS)),CONDITION,INDIVIDUAL,4,10
160,SIA005A (GG NL SPEED1(ECS)),CONDITION,INDIVIDUAL,4,10
161,SIA005B (GG NL SPEED2(ECS)),CONDITION,INDIVIDUAL,4,10
162,SIA007A (GG NH SPEED1(ECS)),CONDITION,INDIVIDUAL,4,10
163,SIA007B (GG NH SPEED2(ECS)),CONDITION,INDIVIDUAL,4,10
164,TI017A10 (GG Exhaust Temp10A (ECS)),CONDITION,INDIVIDUAL,4,10
165,PDIA002 (GG LO Center Bear.dP),CONDITION,INDIVIDUAL,5,10
166,SIA003 (PT N3 Speed 1 (ECS)),CONDITION,INDIVIDUAL,7,10
167,FI005_FI006 (TOTAL FUEL FLOW),CONDITION,INDIVIDUAL,3,10
